,Family and Type,File,Quantity,Category
2,M_Rectangular Pants - Reducing: Standard,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.0,1
4,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.424,1
5,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.484,1
6,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.613,1
7,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.33,1
8,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.325,1
9,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,3.534,1
10,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.412,1
11,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.424,1
12,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.121,1
13,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,5.773,1
14,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.619,1
15,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.649,1
16,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,3.464,1
17,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.378,1
18,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.825,1
19,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,4.595,1
20,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,10.391,1
21,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.28,1
22,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,0.519,1
23,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,5.456,1
24,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,7.376,1
25,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,1.903,1
26,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Low Pressure Insulated Cladded Rect.csv,2.017,1
