,Family and Type,File,Quantity,Category
2,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.076,1
3,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.746,1
4,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.119,1
5,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.257,1
6,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.951,1
7,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.977,1
8,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.136,1
9,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.127,1
10,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.544,1
11,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.048,1
12,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.408,1
13,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.134,1
14,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.113,1
15,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.357,1
16,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.783,1
17,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.204,1
18,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.148,3
19,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.419,3
20,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.23,3
21,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.355,3
22,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
23,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
24,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,1
25,M_Rectangular Wye - Dovetail: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
26,M_Rectangular Wye - Dovetail: Standard,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.0,3
28,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.318,1
29,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.247,1
30,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.377,1
31,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.283,1
32,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.636,1
33,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.118,1
34,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
35,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.565,1
36,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,1.225,1
37,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.306,1
38,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.66,1
39,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.53,1
40,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,5.007,1
41,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.972,1
42,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.648,1
43,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.55,1
44,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.412,1
45,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.825,1
46,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Low Pressure Insulated Rect.csv,0.471,1
