,Family and Type,File,Quantity,Category
2,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,0.259,1
3,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,0.454,1
4,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,0.477,1
5,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,0.481,1
6,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,0.554,1
8,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,23.091,2
9,M_Rectangular Flanged Transition - Length: 300 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,5.243,2
10,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,6.119,2
11,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,13.014,2
13,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,1.708,3
14,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,3.77,3
15,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,16.228,3
16,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,14.137,3
17,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,5.655,3
18,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,2.603,2
19,M_Rectangular Flanged Transition - Length: 900 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,4.141,3
20,M_Rectangular Flanged Transition - Length: 900 mm,Duct Fitting Schedule Medium Pressure Insulated Cladded Rect.csv,9.732,3
