,Family and Type,File,Quantity,Category
2,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.238,1
3,M-H Flanged Rectangular Union: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.329,3
4,M_Rectangular Wye - Curved - Transition: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.0,1
6,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.518,1
7,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.907,1
8,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,4.241,1
9,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,14.137,1
10,M_Rectangular Endcap: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.0,1
11,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,15.122,1
13,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,1.708,3
14,M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,11.215,3
15,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.0,3
16,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.0,3
17,M-H Flange Rectangular Rectangular Shoe Branch: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,0.0,3
18,M-H Flange Rectangular Takeoff: Standard,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,2.367,3
19,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,6.578,1
20,M_Rectangular Flanged Transition - Length: 600 mm,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,1.68,1
22,M_Rectangular Flanged Transition - Length: 900 mm,Duct Fitting Schedule Medium Pressure Insulated Rect.csv,13.736,3
