Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length,Size_1,Size_2,Size_3,Size_1_W,Size_1_H,Size_2_W,Size_2_H,Size_3_W,Size_3_H,Min_Width,Min_Height,Max_W_H,Sum_W_H,Category
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x200,1.0,36.772,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,40.858,250x200,,,250,200,,,,,250.0,200.0,250.0,450.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x250,1.0,42.446,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,42.446,250x250,,,250,250,,,,,250.0,250.0,250.0,500.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x300,1.0,13.509,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,11.258,300x300,,,300,300,,,,,300.0,300.0,300.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x350,1.0,40.834,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,29.167,350x350,,,350,350,,,,,350.0,350.0,350.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x650,1.0,6.621,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.311,350x650,,,350,650,,,,,350.0,650.0,650.0,1000.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,400x350,1.0,7.709,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,5.139,400x350,,,400,350,,,,,400.0,350.0,400.0,750.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x200,1.0,4.206,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.235,450x200,,,450,200,,,,,450.0,200.0,450.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,450x250,1.0,4.541,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.243,450x250,,,450,250,,,,,450.0,250.0,450.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,500x200,1.0,5.109,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,3.649,500x200,,,500,200,,,,,500.0,200.0,500.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,650x350,1.0,20.178,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,10.089,650x350,,,650,350,,,,,650.0,350.0,650.0,1000.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,700x350,1.0,75.534,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,35.968,700x350,,,700,350,,,,,700.0,350.0,700.0,1050.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x850,1.0,1.756,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.732,350x850,,,350,850,,,,,350.0,850.0,850.0,1200.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x200,1.0,1.6,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.8,800x200,,,800,200,,,,,800.0,200.0,800.0,1000.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,800x350,1.0,16.782,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,7.297,800x350,,,800,350,,,,,800.0,350.0,800.0,1150.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,850x500,1.0,2.727,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,1.01,850x500,,,850,500,,,,,850.0,500.0,850.0,1350.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,900x300,1.0,15.04,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,6.267,900x300,,,900,300,,,,,900.0,300.0,900.0,1200.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1070x745,1.0,0.545,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.15,1070x745,,,1070,745,,,,,1070.0,745.0,1070.0,1815.0,3
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,1700x400,1.0,3.946,0.0,,,,Duct Schedule Low Pressure Insulated Cladded Rect.csv,0.939,1700x400,,,1700,400,,,,,1700.0,400.0,1700.0,2100.0,4
