Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale,File,Length,Size_1,Size_2,Size_3,Size_1_W,Size_1_H,Size_2_W,Size_2_H,Size_3_W,Size_3_H,Min_Width,Min_Height,Max_W_H,Sum_W_H,Category
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,150x300,1.0,4.734,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.26,150x300,,,150,300,,,,,150.0,300.0,300.0,450.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x150,1.0,2.762,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,3.945,200x150,,,200,150,,,,,200.0,150.0,200.0,350.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x200,1.0,10.052,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,12.565,200x200,,,200,200,,,,,200.0,200.0,200.0,400.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x250,1.0,7.401,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.223,200x250,,,200,250,,,,,200.0,250.0,250.0,450.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x300,1.0,8.647,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,8.647,200x300,,,200,300,,,,,200.0,300.0,300.0,500.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x400,1.0,2.233,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,1.861,200x400,,,200,400,,,,,200.0,400.0,400.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,200x500,1.0,1.347,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.962,200x500,,,200,500,,,,,200.0,500.0,500.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x200,1.0,45.549,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,50.61,250x200,,,250,200,,,,,250.0,200.0,250.0,450.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x250,1.0,100.18,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,100.18,250x250,,,250,250,,,,,250.0,250.0,250.0,500.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x300,1.0,23.667,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,21.516,250x300,,,250,300,,,,,250.0,300.0,300.0,550.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,250x350,1.0,1.184,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,0.987,250x350,,,250,350,,,,,250.0,350.0,350.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x150,1.0,5.159,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,5.732,300x150,,,300,150,,,,,300.0,150.0,300.0,450.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x200,1.0,33.013,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,33.013,300x200,,,300,200,,,,,300.0,200.0,300.0,500.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x250,1.0,69.524,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,63.203,300x250,,,300,250,,,,,300.0,250.0,300.0,550.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x300,1.0,42.381,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,35.318,300x300,,,300,300,,,,,300.0,300.0,300.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x350,1.0,27.434,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,21.103,300x350,,,300,350,,,,,300.0,350.0,350.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,300x400,1.0,4.158,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,2.97,300x400,,,300,400,,,,,300.0,400.0,400.0,700.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x200,1.0,35.334,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,32.122,350x200,,,350,200,,,,,350.0,200.0,350.0,550.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x250,1.0,9.114,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,7.595,350x250,,,350,250,,,,,350.0,250.0,350.0,600.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x300,1.0,1.566,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,1.205,350x300,,,350,300,,,,,350.0,300.0,350.0,650.0,1
Rectangular Duct: DW144 - Taps - Mitered Elbows - Flanged,Duct Wrap,25 mm,350x350,1.0,25.765,0.0,,,,Duct Schedule Low Pressure Insulated Rect.csv,18.403,350x350,,,350,350,,,,,350.0,350.0,350.0,700.0,1
