Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
Duct Wrap,25 mm,450x550-450x550,4.0,0.238 m²,0.000 m²,,,
Duct Wrap,25 mm,850x550-850x550,4.0,0.329 m²,0.000 m²,,,
Duct Wrap,25 mm,950x500-500x500-500x500,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,200x350-200x350,2.0,0.000 m²,0.518 m²,,90.00°,0.75
Duct Wrap,25 mm,350x200-350x200,2.0,0.000 m²,0.907 m²,,90.00°,0.75
Duct Wrap,25 mm,450x550-450x550,4.0,0.000 m²,4.241 m²,,90.00°,0.75
Duct Wrap,25 mm,500x500-500x500,12.0,0.000 m²,14.137 m²,,90.00°,0.75
Duct Wrap,25 mm,450x550,4.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,950x500-500x500,9.0,15.122 m²,0.000 m²,Flat on Top and Bottom,,
Duct Wrap,25 mm,500x950-500x950,1.0,0.000 m²,1.708 m²,,90.00°,0.75
Duct Wrap,25 mm,850x550-850x550,4.0,0.000 m²,11.215 m²,,90.00°,0.75
Duct Wrap,25 mm,500x950-500x950,5.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,800x1200-800x1200,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,1000x1000-1000x1000,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,800x500-800x500,16.0,2.367 m²,0.000 m²,,,
Duct Wrap,25 mm,850x550-450x550,4.0,6.578 m²,0.000 m²,,,
Duct Wrap,25 mm,950x500-500x500,1.0,1.680 m²,0.000 m²,Flat on Top and Bottom,,
Duct Wrap,25 mm,1700x550-850x550,4.0,13.736 m²,0.000 m²,,,
